"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16829","Should close cookie overlay","webkit","Fri Jan 10 23:01:20 MSK 2025","passed","Fri Jan 10 23:01:37 MSK 2025","Close overlays","browserState\storage.spec.js","",""
"","7049","Should close cookie overlay","chromium","Fri Jan 10 23:01:20 MSK 2025","passed","Fri Jan 10 23:01:27 MSK 2025","Close overlays","browserState\storage.spec.js","",""
"","3745","Login page test","firefox","Tue Jan 07 18:47:24 MSK 2025","passed","Tue Jan 07 18:47:28 MSK 2025","","e2e\21vek.spec.js","",""
"","2111","Login page test","webkit","Tue Jan 07 18:47:24 MSK 2025","passed","Tue Jan 07 18:47:26 MSK 2025","","e2e\21vek.spec.js","",""
"","9149","Should close cookie overlay","storage","Fri Jan 10 23:01:20 MSK 2025","passed","Fri Jan 10 23:01:29 MSK 2025","Close overlays","browserState\storage.spec.js","",""
"","31248","LogIn with valid credentials","chromium","Fri Jan 10 23:26:31 MSK 2025","broken","Fri Jan 10 23:27:02 MSK 2025","Login test of 21vek","loginTest\login_21vek.spec.js","",""
"","1977","Login page test","chromium","Tue Jan 07 18:47:24 MSK 2025","passed","Tue Jan 07 18:47:26 MSK 2025","","e2e\21vek.spec.js","",""
"","9441","Should close cookie overlay","firefox","Fri Jan 10 23:01:20 MSK 2025","passed","Fri Jan 10 23:01:29 MSK 2025","Close overlays","browserState\storage.spec.js","",""
"","2071","Login page test","21vek","Tue Jan 07 18:47:24 MSK 2025","passed","Tue Jan 07 18:47:26 MSK 2025","","e2e\21vek.spec.js","",""
"","4376","LogIn with valid credentials","21vek","Sat Jan 11 00:05:29 MSK 2025","passed","Sat Jan 11 00:05:34 MSK 2025","Login test of 21vek","loginTest\login_21vek.spec.js","",""
